step,train_loss,val_loss
1,37.8328742980957,37.76961135864258
50,6.817751884460449,6.8192033767700195
100,6.355490684509277,6.1149091720581055
150,5.4420390129089355,5.297027111053467
200,5.502984046936035,5.253513336181641
250,5.57197904586792,5.082436561584473
300,5.156009674072266,5.187215805053711
350,4.986114501953125,5.078141212463379
400,4.887922286987305,4.899208068847656
450,4.900181770324707,4.95421028137207
500,5.070958137512207,4.889195442199707
550,4.453958034515381,4.935161590576172
600,4.894303798675537,4.620281219482422
650,4.4774041175842285,4.540501594543457
700,4.737164497375488,4.550148963928223
750,4.502007007598877,4.452965259552002
800,4.236956596374512,4.386229991912842
850,4.63169002532959,4.405226230621338
900,4.097107887268066,4.193884372711182
950,4.190670013427734,4.258610248565674
1000,4.24124813079834,4.191852569580078
1050,3.8693318367004395,4.212658882141113
1100,4.491254806518555,4.444757461547852
1150,4.191853046417236,4.359037399291992
1200,4.007430553436279,4.297749042510986
1250,4.181247711181641,4.129838943481445
1300,4.581965923309326,4.182523727416992
1350,4.414647102355957,4.122116565704346
1400,4.348193168640137,4.3338117599487305
