step,train_loss,val_loss
1,32.60211181640625,32.46671676635742
50,0.7125486731529236,0.7569336295127869
100,0.6043163537979126,0.5708160996437073
150,0.5943417549133301,0.5617848038673401
200,0.5780014991760254,0.54598069190979
250,0.5490204095840454,0.5442072749137878
300,0.5626343488693237,0.541623055934906
350,0.5639740824699402,0.5553975701332092
400,0.5708574056625366,0.5473483800888062
450,0.5032275319099426,0.5482234954833984
500,0.569086492061615,0.5547996163368225
550,0.5095146894454956,0.5403578877449036
600,0.5701619982719421,0.5402356386184692
650,0.5786573886871338,0.541415810585022
700,0.6038922071456909,0.5514432191848755
750,0.5006734132766724,0.5519242882728577
800,0.5435438752174377,0.54794842004776
850,0.5668922066688538,0.5222353935241699
900,0.5621920824050903,0.5429658889770508
950,0.5235868692398071,0.5527002215385437
1000,0.5641654133796692,0.5455361008644104
1050,0.5793930888175964,0.5505682826042175
1100,0.5791354775428772,0.5501267910003662
1150,0.6045490503311157,0.5506342053413391
1200,0.549691915512085,0.5381984710693359
1250,0.5637097954750061,0.5374732613563538
1300,0.5586124658584595,0.5544576048851013
1350,0.5132222175598145,0.5393016934394836
1400,0.5354767441749573,0.5311464071273804
