step,train_loss,val_loss
1,32.58523178100586,32.5402946472168
50,0.4209306836128235,0.390694260597229
100,0.18600130081176758,0.21102336049079895
150,0.22345833480358124,0.19591893255710602
200,0.20300361514091492,0.19717782735824585
250,0.20780616998672485,0.19363076984882355
300,0.198460191488266,0.2081994265317917
350,0.2103467881679535,0.18416152894496918
400,0.17663070559501648,0.19964663684368134
450,0.17174820601940155,0.18517211079597473
500,0.1913076788187027,0.2068369835615158
550,0.17921344935894012,0.20561902225017548
600,0.18505682051181793,0.20017999410629272
650,0.17871837317943573,0.19562003016471863
700,0.2044922262430191,0.18960736691951752
750,0.19158391654491425,0.18876853585243225
800,0.20093218982219696,0.19009578227996826
850,0.19148069620132446,0.18306073546409607
900,0.19253139197826385,0.20041458308696747
950,0.17043575644493103,0.18788838386535645
1000,0.16420988738536835,0.19870948791503906
1050,0.16882716119289398,0.1958768367767334
1100,0.17060652375221252,0.1894955337047577
1150,0.17225676774978638,0.18255212903022766
1200,0.17538151144981384,0.18973305821418762
1250,0.20573382079601288,0.19496800005435944
1300,0.18713872134685516,0.18184256553649902
1350,0.21392376720905304,0.19464072585105896
1400,0.16616082191467285,0.18191468715667725
